name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source
Dervish Dance,combat,"Dexterity 13, Weapon Finesse, Perform (dance) 2 ranks, proficient with scimitar.","You have learned to turn your speed into power, even with a heavier blade.","When wielding a scimitar with one hand, you can use your Dexterity modifier instead of your Strength modifier on melee attack and damage rolls. You treat the scimitar as a one-handed piercing weapon for all feats and class abilities that require such a weapon (such as a duelist's precise strike ability). The scimitar must be for a creature of your size. You cannot use this feat if you are carrying a weapon or shield in your off hand.",,,,,Weapon Finesse,Perform (dance) 2,,,Inner Sea World Guide

Desert Dweller,general,"Con 13, Survival 1 rank.","Your time spent living in merciless deserts has granted you resistance to extreme heat, starvation, and thirst.","You treat extreme heat conditions (Pathfinder RPG Core Rulebook 444) as severe heat, and severe heat as very hot conditions. You are not impacted at all by very hot conditions. In addition, you gain a +4 bonus on all Constitution checks made to resist the effects of starvation or thirst.",,,,,,Survival 1,,,Inner Sea World Guide

Desperate Battler,combat,,"Your experiences fighting against numerous foes that have already overwhelmed your allies, friends, and family have forced you to excel at fighting on your own.","When no ally is within 10 feet of you and you are not receiving benefits from the aid another action, you gain a +1 morale bonus on melee attack and damage rolls.",,,,,,,,,Inner Sea World Guide

Eye of the Arclord,general,"Knowledge (arcana) 4 ranks, ability to cast arcane spells.",Your understanding of the esoteric teachings of the Arclords of Nex allows you to open an eldritch eye that grants you superior perception of the magical world.,"Once per day as a standard action, you can open an incandescent third eye upon your forehead. The eye can remain open for 1 minute, during which time you cast all divination spells at +1 caster level (as long as you begin casting the spell before the eye closes), gain darkvision 60 feet, and can use detect magic (as the spell of the same name). You gain a +8 bonus on Perception checks to notice invisible creatures while the eye is open as well.",,,,,,Knowledge (arcana) 4,,,Inner Sea World Guide

Fey Foundling,general,You may only select this feat at 1st level.,"You were found in the wilds as a child, bearing a mark of the First World.","Your strange connection to the First World and the fey infuses you with life, and whenever you receive magical healing, you heal an additional 2 points per die rolled. You gain a +2 bonus on all saving throws against death effects. Unfortunately, you also suffer +1 point of damage from cold iron weapons (although you can wield cold iron weapons without significant discomfort).",,,,,,,,,Inner Sea World Guide

Flagbearer,combat,Cha 15.,"When brandishing a flag adorned with the standard of an organization you owe allegiance to, you inspire nearby members of the same allegiance.","As long as you hold your clan, house, or party's f lag (see page 293), members of that allegiance within 30 feet who can see the flag (including yourself ) gain a +1 morale bonus on attack rolls, weapon damage rolls, and saving throws against fear and charm effects. You must hold the flag in one hand in order to grant this bonus. If the standard is taken by the enemy or destroyed, this bonus becomes a penalty, affecting all creatures that the bonus previously affected for 1 hour (or until you reclaim the lost flag).",,,,,,,,,Inner Sea World Guide

Focused Discipline,combat,,Familiarity with the military traditions of your homeland inspires uncommon valor in you.,"You gain a +2 bonus on all saving throws against fear effects. Whenever a fear effect targets you and fails to affect you (either because of a successful saving throw or because of immunity to fear), you gain a +2 morale bonus on attack rolls, weapon damage rolls, and CMB checks against the creature that attempted to use the fear affect on you for 1 round.",,,,,,,,,Inner Sea World Guide

Fortune Teller,general,Ability to cast divination spells.,"As a result of being raised in a land steeped in tradition and superstition (such as Varisia or Ustalav), you are skilled at communicating with the spirit world.","Upon taking this feat, choose a focus item for your divination magic-a crystal ball, runes, a Harrow deck, or some such item. Whenever you cast a spell from the divination school, you may use this focus item instead of the spell's material component, as long as the cost of the material component is no more than 1,000 gp. If you choose to perform the spell using your focus item and the spell's normal material component (regardless of that component's cost), you cast the spell at +1 caster level.",,,,,,,,,Inner Sea World Guide

Free Spirit,general,"Cha 13, any chaotic alignment.",Your strong belief in the value of freedom protects you from mental and physical shackles.,You gain a +2 morale bonus on saving throws made against mind-affecting effects and on all Escape Artist or grapple checks made to escape a grapple or to escape from bonds.,,,,,,,,,Inner Sea World Guide

Godless Healing,general,Cannot have a patron deity.,You have mastered a specialized and complex technique to ignore pain by focusing your belief on the self rather than relying on faith.,"Once per day when you have half your total hit points or fewer, you may heal yourself of an amount of damage equal to 1d8 plus your total Hit Dice as a move action. This is a supernatural ability.",,"You can take this feat more than once. Each time you do, you may heal yourself one additional time per day.",,,,,,,Inner Sea World Guide

Green Faith Acolyte,general,Follower of the Green Faith.,You have trained to channel your magical energies in ways that do not harm the natural world around you.,"Spells you cast that deal damage, channel negative energy, or otherwise harm life do not hurt normal or magical plants. In addition, whenever you cast a spell that utilizes, heals, or enhances normal or magical plants (such as entangle or plant growth), you cast the spell at +1 caster level.",,,,,,,,,Inner Sea World Guide

Hamatulatsu,combat,"Improved Unarmed Strike, Weapon Focus (unarmed strike).",You have mastered a deadly fighting form inspired by the hideous attacks of the barbed devil.,"Your unarmed attacks can deal either bludgeoning or piercing damage. You decide which type of damage you deal whenever you attack a foe, but you may only choose one type at a time. If you critically hit a foe with your unarmed strike while doing piercing damage, the additional pain caused by the strike causes the foe to become sickened for 1 round (or staggered for 1 round if the target is already sickened). Multiple critical hits in a round against a single foe do not increase the duration of the sickened or staggered condition.",,Hamatulatsu may be selected as a substitute bonus feat at 6th level by a monk even if the monk does not otherwise meet the prerequisites. This fighting style is normally only taught to women of the Sisterhood of the Golden Erinyes.,,,"Improved Unarmed Strike, Weapon Focus",,,,Inner Sea World Guide
